period,state,handgun,long_gun,multiple,year,month
2017-06,North Carolina,1739,10527,456,2017,6
2017-06,North Dakota,1569,2136,118,2017,6
2017-06,Ohio,26073,14890,1946,2017,6
2017-06,Oklahoma,13059,8205,1556,2017,6
2017-06,Oregon,14995,10140,2,2017,6
2017-06,Pennsylvania,45549,12229,0,2017,6
2017-06,Rhode Island,1158,651,302,2017,6
2017-06,South Carolina,12574,4986,890,2017,6
2017-06,South Dakota,2436,2704,284,2017,6
2017-06,Tennessee,25706,12714,0,2017,6
2017-06,Texas,53785,32031,4614,2017,6
2017-06,Utah,3638,3288,0,2017,6
2017-06,Vermont,1426,1070,82,2017,6
2017-06,Virginia,24658,13977,0,2017,6
2017-06,Washington,18341,10786,1208,2017,6
2017-06,West Virginia,5950,4582,656,2017,6
2017-06,Wisconsin,14809,10955,82,2017,6
2017-06,Wyoming,1672,1698,170,2017,6
2017-05,Alabama,7918,5015,618,2017,5
2017-05,Alaska,3136,2705,340,2017,5
2017-05,Arizona,13202,7211,1242,2017,5
2017-05,Arkansas,5699,4379,550,2017,5
2017-05,California,46686,26945,0,2017,5
2017-05,Colorado,18794,12282,1976,2017,5
2017-05,Connecticut,6546,2048,0,2017,5
2017-05,Delaware,1927,1196,144,2017,5
2017-05,Florida,54670,20324,3814,2017,5
2017-05,Georgia,13379,6832,884,2017,5
2017-05,Hawaii,0,0,0,2017,5
2017-05,Idaho,3594,4069,362,2017,5
2017-05,Illinois,24468,10177,1548,2017,5
2017-05,Indiana,19921,10431,1236,2017,5
2017-05,Iowa,216,1935,6,2017,5
2017-05,Kansas,5524,4200,590,2017,5
2017-05,Kentucky,9559,5916,866,2017,5
2017-05,Louisiana,11398,6932,1088,2017,5
2017-05,Maine,3560,2794,368,2017,5
2017-05,Maryland,4993,4668,60,2017,5
2017-05,Massachusetts,5610,2779,328,2017,5
2017-05,Michigan,11531,7761,382,2017,5
2017-05,Minnesota,8708,8357,654,2017,5
2017-05,Mississippi,7702,4332,652,2017,5
2017-05,Missouri,20119,12615,1714,2017,5
2017-05,Montana,2926,4138,398,2017,5
2017-05,Nebraska,120,1382,10,2017,5
2017-05,Nevada,5093,2517,468,2017,5
2017-05,New Hampshire,5075,2719,10,2017,5
2017-05,New Jersey,6126,3224,0,2017,5
2017-05,New Mexico,5724,3719,526,2017,5
2017-05,New York,12796,14143,366,2017,5
2017-05,North Carolina,1499,10042,412,2017,5
2017-05,North Dakota,1554,2053,114,2017,5
2017-05,Ohio,27753,14216,2118,2017,5
2017-05,Oklahoma,11659,7997,1456,2017,5
2017-05,Oregon,14587,10026,6,2017,5
2017-05,Pennsylvania,46911,12235,0,2017,5
2017-05,Rhode Island,1153,595,364,2017,5
2017-05,South Carolina,10184,4657,1234,2017,5
2017-05,South Dakota,2606,2836,290,2017,5
2017-05,Tennessee,24418,11820,0,2017,5
2017-05,Texas,46603,30790,4452,2017,5
2017-05,Utah,3524,3458,0,2017,5
2017-05,Vermont,1437,1245,98,2017,5
2017-05,Virginia,23867,13399,0,2017,5
2017-05,Washington,17506,10650,1168,2017,5
2017-05,West Virginia,6400,4762,642,2017,5
2017-05,Wisconsin,15477,10414,116,2017,5
2017-05,Wyoming,1748,1736,182,2017,5
2017-04,Alabama,7844,5196,522,2017,4
2017-04,Alaska,3297,3124,466,2017,4
2017-04,Arizona,14632,8234,1316,2017,4
2017-04,Arkansas,6237,4649,574,2017,4
2017-04,California,49700,27388,0,2017,4
2017-04,Colorado,21398,13648,2136,2017,4
2017-04,Connecticut,7213,2269,0,2017,4
2017-04,Delaware,2219,1374,178,2017,4
2017-04,Florida,58178,21438,3680,2017,4
2017-04,Georgia,14522,7224,842,2017,4
2017-04,Hawaii,0,0,0,2017,4
2017-04,Idaho,4261,4443,320,2017,4
2017-04,Illinois,27955,11458,1690,2017,4
2017-04,Indiana,23599,12529,1354,2017,4
2017-04,Iowa,277,2583,6,2017,4
2017-04,Kansas,6491,4878,616,2017,4
2017-04,Kentucky,10844,7171,866,2017,4
2017-04,Louisiana,11606,6777,984,2017,4
2017-04,Maine,4198,3380,366,2017,4
2017-04,Maryland,4878,5641,48,2017,4
2017-04,Massachusetts,7194,2989,388,2017,4
2017-04,Michigan,13726,10053,492,2017,4
2017-04,Minnesota,14381,13358,1080,2017,4
2017-04,Mississippi,8747,4795,588,2017,4
2017-04,Missouri,22361,15536,1996,2017,4
2017-04,Montana,3315,4671,438,2017,4
2017-04,Nebraska,139,1813,8,2017,4
2017-04,Nevada,5379,3022,574,2017,4
2017-04,New Hampshire,6224,3433,18,2017,4
2017-04,New Jersey,6294,3521,0,2017,4
2017-04,New Mexico,6232,4425,534,2017,4
2017-04,New York,13104,16050,408,2017,4
2017-04,North Carolina,1618,10857,370,2017,4
2017-04,North Dakota,2430,2741,198,2017,4
2017-04,Ohio,34559,17633,2418,2017,4
2017-04,Oklahoma,14649,10022,1724,2017,4
2017-04,Oregon,16634,11986,4,2017,4
2017-04,Pennsylvania,53081,13065,0,2017,4
2017-04,Rhode Island,1261,740,400,2017,4
2017-04,South Carolina,10503,4862,2318,2017,4
2017-04,South Dakota,3186,3309,296,2017,4
2017-04,Tennessee,25334,12673,0,2017,4
2017-04,Texas,49493,30817,4884,2017,4
2017-04,Utah,4309,3632,0,2017,4
2017-04,Vermont,2041,1892,210,2017,4
2017-04,Virginia,32428,18528,0,2017,4
2017-04,Washington,18832,11725,1260,2017,4
2017-04,West Virginia,7395,5789,730,2017,4
2017-04,Wisconsin,18370,14632,92,2017,4
2017-04,Wyoming,1796,1882,170,2017,4
2017-03,Alabama,11663,7646,774,2017,3
2017-03,Alaska,3374,2904,368,2017,3
2017-03,Arizona,16387,9940,1476,2017,3
2017-03,Arkansas,8698,6611,908,2017,3
2017-03,California,53605,30623,0,2017,3
2017-03,Colorado,23374,15816,2362,2017,3
2017-03,Connecticut,8224,2806,0,2017,3
2017-03,Delaware,2813,1845,220,2017,3
2017-03,Florida,66866,26380,4352,2017,3
2017-03,Georgia,21182,10470,1352,2017,3
2017-03,Hawaii,0,0,0,2017,3
2017-03,Idaho,4950,5438,486,2017,3
2017-03,Illinois,33570,15852,2414,2017,3
2017-03,Indiana,31452,15799,1586,2017,3
2017-03,Iowa,348,3451,8,2017,3
2017-03,Kansas,8483,6074,720,2017,3
2017-03,Kentucky,15146,9891,1290,2017,3
2017-03,Louisiana,15370,8901,1524,2017,3
2017-03,Maine,5014,3615,394,2017,3
2017-03,Maryland,5938,6311,42,2017,3
2017-03,Massachusetts,8001,3763,370,2017,3
2017-03,Michigan,17634,12213,546,2017,3
2017-03,Minnesota,15432,14287,1036,2017,3
2017-03,Mississippi,12745,7159,930,2017,3
2017-03,Missouri,30388,19724,2572,2017,3
2017-03,Montana,3977,5042,562,2017,3
2017-03,Nebraska,194,2182,14,2017,3
2017-03,Nevada,6642,3541,602,2017,3
2017-03,New Hampshire,8006,3808,6,2017,3
2017-03,New Jersey,7558,4250,0,2017,3
2017-03,New Mexico,7427,5028,748,2017,3
2017-03,New York,14067,17150,408,2017,3
2017-03,North Carolina,1836,15221,522,2017,3
2017-03,North Dakota,2214,2608,140,2017,3
2017-03,Ohio,41221,21918,2962,2017,3
2017-03,Oklahoma,15573,11072,1954,2017,3
2017-03,Oregon,18895,14873,0,2017,3
2017-03,Pennsylvania,67328,17420,0,2017,3
2017-03,Rhode Island,1566,870,446,2017,3
2017-03,South Carolina,14612,7424,1382,2017,3
2017-03,South Dakota,3697,4055,476,2017,3
2017-03,Tennessee,32306,17514,0,2017,3
2017-03,Texas,61581,37739,5692,2017,3
2017-03,Utah,4841,4411,0,2017,3
2017-03,Vermont,2208,1972,218,2017,3
2017-03,Virginia,32860,19529,0,2017,3
2017-03,Washington,22339,14014,1470,2017,3
2017-03,West Virginia,9776,7278,1046,2017,3
2017-03,Wisconsin,21850,18439,82,2017,3
2017-03,Wyoming,2219,2242,248,2017,3
2017-02,Alabama,11813,7731,1010,2017,2
2017-02,Alaska,3143,2312,360,2017,2
2017-02,Arizona,17206,9769,1642,2017,2
2017-02,Arkansas,8771,6532,1180,2017,2
2017-02,California,48799,27486,0,2017,2
2017-02,Colorado,23054,14825,2480,2017,2
2017-02,Connecticut,7090,2406,0,2017,2
2017-02,Delaware,2576,1829,204,2017,2
2017-02,Florida,65121,25827,4374,2017,2
2017-02,Georgia,20908,10267,1726,2017,2
2017-02,Hawaii,0,0,0,2017,2
2017-02,Idaho,4456,4294,454,2017,2
2017-02,Illinois,30160,13899,2004,2017,2
2017-02,Indiana,30077,14543,1628,2017,2
2017-02,Iowa,350,2643,24,2017,2
2017-02,Kansas,8890,6051,860,2017,2
2017-02,Kentucky,16472,9500,2088,2017,2
2017-02,Louisiana,13968,8361,1336,2017,2
2017-02,Maine,4134,2798,338,2017,2
2017-02,Maryland,5418,6087,90,2017,2
2017-02,Massachusetts,6908,3191,312,2017,2
2017-02,Michigan,17120,10784,526,2017,2
2017-02,Minnesota,13252,10605,750,2017,2
2017-02,Mississippi,12414,6650,1160,2017,2
2017-02,Missouri,29399,17613,2954,2017,2
2017-02,Montana,3203,3772,618,2017,2
2017-02,Nebraska,188,2131,12,2017,2
2017-02,Nevada,6208,3005,616,2017,2
2017-02,New Hampshire,6701,3408,4,2017,2
2017-02,New Jersey,6494,3829,0,2017,2
2017-02,New Mexico,7735,5095,1018,2017,2
2017-02,New York,12612,15488,358,2017,2
2017-02,North Carolina,1551,14837,830,2017,2
2017-02,North Dakota,1988,2434,154,2017,2
2017-02,Ohio,39868,19875,3166,2017,2
2017-02,Oklahoma,15456,10746,2422,2017,2
2017-02,Oregon,18068,12899,0,2017,2
2017-02,Pennsylvania,59518,14007,0,2017,2
2017-02,Rhode Island,1406,804,418,2017,2
2017-02,South Carolina,13761,6956,5358,2017,2
2017-02,South Dakota,3926,3886,340,2017,2
2017-02,Tennessee,35180,18068,0,2017,2
2017-02,Texas,62465,36562,7046,2017,2
2017-02,Utah,4808,4677,0,2017,2
2017-02,Vermont,2074,1692,118,2017,2
2017-02,Virginia,31277,18246,0,2017,2
2017-02,Washington,20664,13046,1684,2017,2
2017-02,West Virginia,9809,6823,1336,2017,2
2017-02,Wisconsin,19962,13472,114,2017,2
2017-02,Wyoming,2023,1811,226,2017,2
2017-01,Alabama,7447,7229,556,2017,1
2017-01,Alaska,2231,1794,254,2017,1
2017-01,Arizona,13319,8088,1100,2017,1
2017-01,Arkansas,5691,5806,626,2017,1
2017-01,California,45668,24955,0,2017,1
2017-01,Colorado,18908,13050,1964,2017,1
2017-01,Connecticut,6746,2326,0,2017,1
2017-01,Delaware,1997,1613,114,2017,1
2017-01,Florida,56759,24054,3632,2017,1
2017-01,Georgia,13771,8740,752,2017,1
2017-01,Hawaii,0,0,0,2017,1
2017-01,Idaho,2879,3354,244,2017,1
2017-01,Illinois,27053,12304,1534,2017,1
2017-01,Indiana,23412,12602,1214,2017,1
